x,y,true_label
0.121886832,-0.415993642,0
0.300180478,0.376225887,0
-0.780414075,-0.520871803,0
0.051136161,-0.126497037,0
-0.006720463,-0.341217571,0
0.35175919,0.311116774,0
0.026412279,0.450896483,0
0.187003737,-0.343716985,0
0.147500314,-0.38355304,0
0.351380121,-0.019970364,0
-0.073944945,-0.272371818,0
0.489016535,-0.061811793,0
-0.171331129,-0.14085342,0
0.212923674,0.146177626,0
0.165093045,0.172328401,0
0.85665904,-0.162566007,0
-0.204897092,-0.325509091,0
0.246391769,0.451588917,0
-0.045578983,-0.336062591,0
-0.329792486,0.260237115,0
0.297301668,0.217261707,0
-0.266203883,0.092864529,0
0.046674324,0.087475439,0
0.348571511,0.08943822,0
0.271565425,0.027031628,0
0.115647759,0.25251529,0
-0.582862328,-0.127868487,0
-0.188149062,-0.255551139,0
-0.1100569,0.597976524,0
-0.346332446,0.387311342,0
-0.673147909,-0.133954012,0
0.065101226,0.234488933,0
0.284490632,0.317338894,0
-0.139490029,-0.184940717,0
0.343190353,-0.07652173,0
-0.510274529,-0.453314886,0
-0.367780914,0.198864298,0
0.056970294,0.276194142,0
-0.170901059,0.063415876,0
0.250236158,-0.123738616,0
0.182710095,-0.264770376,0
-0.145221539,-0.152695158,0
-0.478335858,0.194788992,0
-0.187760936,0.004997647,0
0.192298664,0.17861247,0
0.266154044,-0.039394194,0
-0.169319325,-0.031887284,0
-0.674933774,-0.578844989,0
-0.529079845,-0.398898731,0
0.159909691,-0.362191622,0
-0.151265022,0.519691319,0
-0.142505588,0.295006227,0
-0.373447072,-0.082175023,0
-0.380008822,-0.13561323,0
0.336123255,-0.690928169,0
0.173769457,0.095094241,0
-0.237659982,-0.578423142,0
0.028851803,-0.211797084,0
0.093070485,0.008740858,0
0.640711557,-0.095742251,0
-0.409398997,0.071710254,0
0.087998674,0.54367503,0
0.334044498,0.142748424,0
0.585321156,-0.475505222,0
-0.255900613,-0.370630377,0
-0.155923921,-0.550674459,0
0.254060379,-0.088889079,0
-0.588322518,-0.406231632,0
0.125405539,0.335250627,0
0.798692357,1.165544986,0
0.165763773,-0.395815248,0
-0.852818512,0.107084585,0
-0.325176438,-0.166142904,0
-0.24483872,-0.056316355,0
0.426392092,0.062819427,0
-0.063453935,-0.414261501,0
-0.669873178,-0.194523164,0
-0.02151302,0.707171965,0
0.052109809,0.393095804,0
-0.199718239,-0.473977507,0
-0.386046705,-0.290090426,0
0.851387893,-0.328554672,0
0.335395681,-0.361170871,0
0.372629205,0.153980386,0
-0.062655159,-0.01630501,0
-0.261915078,0.178428881,0
-0.181993392,-0.490242306,0
-0.51117503,0.069035167,0
0.631636503,0.063996645,0
-0.04745533,0.114330456,0
0.522400697,0.087753001,0
-0.164370892,0.442515484,0
0.171502575,0.614302397,0
